"Cannot create wishlist","無法建立收藏"
"Your Wishlist was successfully shared","您的收藏已成功分享"
"My Wishlist (%d item)","我的收藏 (%d 商品)"
"My Wishlist","我的收藏"
"E-mail Addresses required","需電子郵件地址"
"My Wishlist (%d items)","我的收藏 (%d 商品)"
"Wishlist Sharing","收藏分享"
"%s's Wishlist","%s 的收藏"
"Cannot specify product","Cannot specify product"
"Remove Item","移除商品"
"Added On","加入於"
"Go to Wishlist","到收藏"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","請輸入有效的電子郵件地址，以逗號分開。例：johndoe@domain.com, johnsmith@domain.com."
"Are you sure you want to remove this product from your wishlist?","您確定要從你的收藏中移出此商品嗎？"
"Share Wishlist","分享收藏"
"Product","商品"
"Last Added Items","最後添加商品"
"You have placed no product yet.","您尚未添加商品"
"Update Wishlist","更新收藏"
"* Required Fields","* 必填欄"
"Add to Cart","加入購物車"
"You have no items in your wishlist.","您的收藏中沒有任何商品。"
"View Product","查看商品"
"Comment","意見"
"Add All to Cart","將全部商品加入至購物車"
"Add to Wishlist","加入至收藏"
"Email addresses, separated by commas","電子郵件地址，以逗號分開"
"Share Your Wishlist","分享您的收藏"
"Please, enter your comments...","請輸入您的意見"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","我的收藏 <span class=""count"">- <a href=""%s"">%d 商品</a></span>"
"Message","信息"
"Are You sure?","你確定嗎？"
