"N/A","N/A"
"Invalid data","無效的資料"
"Paypal Checkout","Paypal 結帳"
"Please select a valid shipping method","請選擇一個有效的寄送方式"
"Sale","銷售"
"Discover","Discover"
"Amex","Amex"
"Visa","Visa"
"Problem during communication with PayPal","與 PayPal 的通訊失敗"
"MasterCard","MasterCard"
"There was an error during communication with Paypal: %s - %s","和 Paypal 的通訊失敗： %s - %s"
"There was an error connecting to the Paypal server: %s","和 Paypal 伺服器的連接失敗： %s"
"Order","訂單"
"Authorization","認證"
"Change Payment Method","變更付款方式"
"Update Shipping Method","更新寄送方式"
"Payment Method","付款方式"
"Place an Order","下訂單"
"Shipping Method","寄送方式"
"Billing Information","收款資料"
"Sorry, no quotes are available for this order at this time.","抱歉，目前無法為您的訂單報價。"
"Price","價格"
"Shipping Information","寄送資料"
"Qty","數量"
"Review Order","審核訂單"
"Edit Shopping Cart","編輯購物車"
"Change Shipping Address","變更寄送地址"
"Product Name","商品名稱"
"PayPal Account","PayPal 帳戶"
"Your billing address will be ignored and you will be redirected to PayPal website","您的寄送地址將會被忽略，您會被重新導入到 Paypal 網站。"
"Items in Your Shopping Cart","購物車中的商品"
"Subtotal","小計"
"Shipping Address","付款地址"
"Please select a shipping method...","請選擇一個寄送方式"
