"Unable to post review. Please try again later.","無法發表評論。請稍後再試。"
"Your review has been accepted for moderation","您的評論以被接受，等待審核"
"Product Reviews","商品評論"
"Be the first to review this product","第一個評論此商品"
"Add to Compare","加入比較"
"My Product Reviews","我的商品評論"
"Average Customer Rating","顧客平均評比"
"1 star","1 星"
"Buy %s for %s","Buy %s for <strong>%s</strong>"
"Back","返回"
"Add Items to Cart","加入購物車"
"Your Review (submitted on %s):","<strong>您的評論</strong> (發表於 %s):"
"You're reviewing: %s","您正在評論： <span class=""normal-weight"">%s</span>"
"Back to My Reviews","回到我的評論"
"View All Reviews","查看所有評論"
"Product Rating:","商品評比："
"(Posted on %s)","(發表於 %s)"
"Summary of Your Review","您的評論總覽"
"Write Your Own Review","填寫您自己的評論"
"4 stars","4 星"
"%d Review(s)","%d 項評論"
"Your Rating:","您的評比"
"My Recent Reviews","我最近的評論"
"Availability: Out of stock.","目前庫存： 缺貨。"
"How do you rate this product?","您對此商品的評比為？"
"Nickname","暱稱"
"Availability: In stock. Ships within 24hours.","目前庫存： 在庫。 24 小時內寄出。"
"Review by %s","評論人： <em>%s</em>"
"Average Customer Rating:","顧客平均評比："
"Rating:","評比："
"Add to Cart","加入至購物車"
"(%s Reviews)","(%s 項評論)"
"Please select one of each of the ratings above","請從之下的評比中選一個"
"Review","評論"
"5 stars","5 星"
"Customer Reviews","顧客評論"
"Review Details","詳細評論"
"Add to Wishlist","加入到收藏"
"View Details","顯示詳細資料"
"Product Review (submitted on %s):","<strong>商品評論</strong> (提交於 %s):"
"You have submitted no reviews.","您尚未提交任何評論"
"Back to Product Reviews","回到商品評論"
"Qty","數量"
"Submit Review","提交評論"
"3 stars","3 星"
"Back to Main Product Info","回到主商品資料"
"Add Your Review","加入您的評論"
"OR","或"
"2 stars","2 星"
